Survey Collection ID,System,School,Survey Type,Delivery Method,Date,Primary Facilitator,Secondary Facilitator,Tertiary Facilitator,Quaternary Facilitator,Submitter Role,Clear about change we seek,Clear about roles and responsibilities,Confident plan will achieve goals,Feel more equipped,Equipped and supported,Understand state of instruction,Valuable use of my time:,Clarity direction of work ahead,I learned something:,Likely to recommend Instruction Partners
a152E00000Eq6lsQAB,District/Network 7,School 108,Professional Development,,7/21/2021,Facilitator 6,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000Eq6lsQAB,District/Network 7,School 108,Professional Development,,7/21/2021,Facilitator 6,,,,Other,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000Eq6lsQAB,District/Network 7,School 108,Professional Development,,7/21/2021,Facilitator 6,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000Eq6lsQAB,District/Network 7,School 108,Professional Development,,7/21/2021,Facilitator 6,,,,Teacher,,,,,,,Somewhat Disagree,,Somewhat Agree,9
a152E00000Eq6lsQAB,District/Network 7,School 108,Professional Development,,7/21/2021,Facilitator 6,,,,Teacher,,,,,,,Agree,,Strongly Agree,10
a152E00000Eq6lsQAB,District/Network 7,School 108,Professional Development,,7/21/2021,Facilitator 6,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000Eq6lrQAB,District/Network 7,School 108,Professional Development,,7/21/2021,Facilitator 1,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000Eq6lsQAB,District/Network 7,School 108,Professional Development,,7/21/2021,Facilitator 6,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000Eq6lsQAB,District/Network 7,School 108,Professional Development,,7/21/2021,Facilitator 6,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,9
a152E00000Eq6lsQAB,District/Network 7,School 108,Professional Development,,7/21/2021,Facilitator 6,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000Eq6lsQAB,District/Network 7,School 108,Professional Development,,7/21/2021,Facilitator 6,,,,Other,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000Eq7mqQAB,District/Network 7,School 108,Professional Development,,7/22/2021,Facilitator 1,,,,Teacher,,,,,,,Strongly Agree,,Agree,7
a152E00000Eq7mvQAB,District/Network 7,School 108,Professional Development,,7/22/2021,Facilitator 6,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000Eq7mvQAB,District/Network 7,School 108,Professional Development,,7/22/2021,Facilitator 6,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000Eq7mvQAB,District/Network 7,School 108,Professional Development,,7/22/2021,Facilitator 6,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000Eq7mvQAB,District/Network 7,School 108,Professional Development,,7/22/2021,Facilitator 6,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000Eq7mvQAB,District/Network 7,School 108,Professional Development,,7/22/2021,Facilitator 6,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000Eq7mvQAB,District/Network 7,School 108,Professional Development,,7/22/2021,Facilitator 6,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,9
a152E00000Eq7mvQAB,District/Network 7,School 108,Professional Development,,7/22/2021,Facilitator 6,,,,Teacher,,,,,,,Somewhat Agree,,Agree,9
a152E00000Eq7mvQAB,District/Network 7,School 108,Professional Development,,7/22/2021,Facilitator 6,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000Eq7mvQAB,District/Network 7,School 108,Professional Development,,7/22/2021,Facilitator 6,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000EqcypQAB,District/Network 43,,Professional Development,Virtual,7/26/2021,Facilitator 50,,,,Teacher,,,,,,,Strongly Agree,,Strongly Agree,10
a152E00000EqcypQAB,District/Network 43,,Professional Development,Virtual,7/26/2021,Facilitator 50,,,,Teacher,,,,,,,Agree,,Agree,8
